	estimation error	validation error
2	29.72%	29.85%
4	 6.48%	 6.44%
8	 3.12%	 3.08%
16	 2.12%	 2.26%
32	17.44%	17.21%
64	48.22%	48.27%
128	46.18%	46.14%
